id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
1063,338,Svi,Mykhailiuk,G,6.0,7.0,79.0,,,,,,,,29
1064,339,Abdel,Nader,F,6.0,5.0,77.0,,,,,,,,24
1065,340,Larry,Nance Jr.,F,6.0,8.0,80.0,,,,,,,,1
1066,341,Shabazz,Napier,G,6.0,0.0,72.0,,,,,,,,25
1067,342,Nene,,C-F,6.0,11.0,83.0,,,,,,,,8
1068,343,Raul,Neto,G,6.0,2.0,74.0,,,,,,,,6
1069,344,Georges,Niang,F,6.0,7.0,79.0,,,,,,,,1
1070,345,Nerlens,Noel,F-C,6.0,11.0,83.0,,,,,,,,3
1071,346,Dirk,Nowitzki,F,7.0,0.0,84.0,,,,,,,,7
1072,347,Frank,Ntilikina,G,6.0,4.0,76.0,,,,,,,,4
1073,348,James,Nunnally,F,6.0,7.0,79.0,,,,,,,,23
1074,349,Jusuf,Nurkic,C,7.0,0.0,84.0,,,,,,,,4
1075,350,David,Nwaba,G,6.0,5.0,77.0,,,,,,,,21
1076,351,Royce,O'Neale,F,6.0,6.0,78.0,,,,,,,,24
1077,352,Kyle,O'Quinn,C,6.0,9.0,81.0,,,,,,,,20
1078,353,Semi,Ojeleye,F,6.0,6.0,78.0,,,,,,,,13
1079,354,Jahlil,Okafor,C,6.0,10.0,82.0,,,,,,,,12
1080,355,Elie,Okobo,G,6.0,3.0,75.0,,,,,,,,24
1081,356,Josh,Okogie,G,6.0,4.0,76.0,,,,,,,,4
1082,357,Victor,Oladipo,G,6.0,3.0,75.0,,,,,,,,16
1083,358,Kelly,Olynyk,F,6.0,11.0,83.0,,,,,,,,19
1084,359,Cedi,Osman,F,6.0,7.0,79.0,,,,,,,,27
1085,360,Kelly,Oubre Jr.,F,6.0,8.0,80.0,,,,,,,,23
1086,361,Zaza,Pachulia,C,6.0,11.0,83.0,,,,,,,,1
1087,362,Jabari,Parker,F,6.0,8.0,80.0,,,,,,,,2
1088,363,Tony,Parker,G,6.0,2.0,74.0,,,,,,,,27
1089,364,Chandler,Parsons,F,6.0,10.0,82.0,,,,,,,,11
1090,365,Patrick,Patterson,F,6.0,8.0,80.0,,,,,,,,28
1091,366,Justin,Patton,C,6.0,11.0,83.0,,,,,,,,11
1092,367,Chris,Paul,G,6.0,0.0,72.0,,,,,,,,27
1093,368,Cameron,Payne,G,6.0,3.0,75.0,,,,,,,,20
1094,369,Elfrid,Payton,G,6.0,3.0,75.0,,,,,,,,19
1095,370,Theo,Pinson,G-F,6.0,7.0,79.0,,,,,,,,7
1096,371,Mason,Plumlee,F-C,6.0,10.0,82.0,,,,,,,,24
1097,372,Miles,Plumlee,C,6.0,11.0,83.0,,,,,,,,24
1098,373,Jakob,Poeltl,C,7.0,0.0,84.0,,,,,,,,28
1099,374,Quincy,Pondexter,F,6.0,7.0,79.0,,,,,,,,15
1100,375,Michael,Porter Jr.,F,6.0,10.0,82.0,,,,,,,,8
1101,376,Otto,Porter Jr.,F,6.0,8.0,80.0,,,,,,,,28
1102,377,Bobby,Portis,F,6.0,10.0,82.0,,,,,,,,17
1103,378,Kristaps,Porzingis,F-C,7.0,2.0,86.0,,,,,,,,2
1104,379,Dwight,Powell,F-C,6.0,10.0,82.0,,,,,,,,7
1105,380,Norman,Powell,F-G,6.0,4.0,76.0,,,,,,,,13
1106,381,Alex,Poythress,F,6.0,9.0,81.0,,,,,,,,12
1107,382,Billy,Preston,F,,,,,,,,,,,6
1108,383,Taurean,Prince,F,6.0,6.0,78.0,,,,,,,,17
1109,384,Zhou,Qi,F-C,7.0,1.0,85.0,,,,,,,,11
1110,385,Ivan,Rabb,F,6.0,10.0,82.0,,,,,,,,15
1111,386,Chasson,Randle,G,6.0,2.0,74.0,,,,,,,,8
1112,387,Julius,Randle,F,6.0,9.0,81.0,,,,,,,,18
1113,388,Zach,Randolph,F,6.0,9.0,81.0,,,,,,,,15
1114,389,JJ,Redick,G,6.0,3.0,75.0,,,,,,,,23
1115,390,Davon,Reed,G,6.0,5.0,77.0,,,,,,,,14
1116,391,Josh,Richardson,G-F,6.0,5.0,77.0,,,,,,,,16
1117,392,Malachi,Richardson,G,6.0,6.0,78.0,,,,,,,,26
1118,393,Austin,Rivers,G,6.0,4.0,76.0,,,,,,,,18
1119,394,Andre,Roberson,G-F,6.0,7.0,79.0,,,,,,,,21
1120,395,Glenn,Robinson III,G-F,6.0,6.0,78.0,,,,,,,,12
1121,396,Devin,Robinson,F,6.0,8.0,80.0,,,,,,,,30
1122,397,Duncan,Robinson,F,6.0,7.0,79.0,,,,,,,,16
1123,398,Jerome,Robinson,G,6.0,5.0,77.0,,,,,,,,10
1124,399,Mitchell,Robinson,C,7.0,0.0,84.0,,,,,,,,20
1125,400,Rajon,Rondo,G,6.0,1.0,73.0,,,,,,,,6
1126,401,Derrick,Rose,G,6.0,3.0,75.0,,,,,,,,15
1127,402,Terrence,Ross,G-F,6.0,7.0,79.0,,,,,,,,24
1128,403,Terry,Rozier,G,6.0,1.0,73.0,,,,,,,,16
1129,404,Ricky,Rubio,G,6.0,2.0,74.0,,,,,,,,6
1130,405,D'Angelo,Russell,G,6.0,3.0,75.0,,,,,,,,3
1131,406,Domantas,Sabonis,F,6.0,10.0,82.0,,,,,,,,26
