team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct
22,Orlando Magic,2021-2022,72,16,7423,8089,-666,-9.25,36,8,56,0.2222222222222222,103.09722222222223,112.34722222222223,36,8,0.2222222222222222,0.2222222222222222
22,Orlando Magic,2022-2023,75,31,8322,8551,-229,-3.0533333333333332,36,18,44,0.41333333333333333,110.96,114.01333333333334,39,13,0.5,0.3333333333333333
22,Orlando Magic,2023-2024,33,19,3751,3693,58,1.7575757575757576,17,12,14,0.5757575757575758,113.66666666666667,111.9090909090909,16,7,0.7058823529411765,0.4375
22,Orlando Magic,2024-2025,75,35,7740,7811,-71,-0.9466666666666667,39,20,40,0.4666666666666667,103.2,104.14666666666666,36,15,0.5128205128205128,0.4166666666666667
23,Philadelphia 76ers,2020-2021,81,53,9201,8749,452,5.580246913580247,42,32,28,0.654320987654321,113.5925925925926,108.01234567901234,39,21,0.7619047619047619,0.5384615384615384
23,Philadelphia 76ers,2021-2022,88,54,9551,9391,160,1.8181818181818181,42,27,34,0.6136363636363636,108.5340909090909,106.7159090909091,46,27,0.6428571428571429,0.5869565217391305
23,Philadelphia 76ers,2022-2023,90,60,10208,9859,349,3.8777777777777778,44,31,30,0.6666666666666666,113.42222222222222,109.54444444444445,46,29,0.7045454545454546,0.6304347826086957
23,Philadelphia 76ers,2023-2024,36,23,4315,4034,281,7.805555555555555,19,13,13,0.6388888888888888,119.86111111111111,112.05555555555556,17,10,0.6842105263157895,0.5882352941176471
23,Philadelphia 76ers,2024-2025,77,22,8349,8821,-472,-6.12987012987013,37,11,55,0.2857142857142857,108.42857142857143,114.55844155844156,40,11,0.2972972972972973,0.275
24,Phoenix Suns,2020-2021,87,60,9829,9435,394,4.528735632183908,44,33,27,0.6896551724137931,112.97701149425288,108.44827586206897,43,27,0.75,0.627906976744186
24,Phoenix Suns,2021-2022,87,65,9881,9361,520,5.977011494252873,43,34,22,0.7471264367816092,113.57471264367815,107.59770114942529,44,31,0.7906976744186046,0.7045454545454546
24,Phoenix Suns,2022-2023,85,49,9661,9484,177,2.0823529411764707,45,31,36,0.5764705882352941,113.65882352941176,111.5764705882353,40,18,0.6888888888888889,0.45
24,Phoenix Suns,2023-2024,35,19,4042,4001,41,1.1714285714285715,19,10,16,0.5428571428571428,115.48571428571428,114.31428571428572,16,9,0.5263157894736842,0.5625
24,Phoenix Suns,2024-2025,76,33,8403,8611,-208,-2.736842105263158,40,23,43,0.4342105263157895,110.5657894736842,113.30263157894737,36,10,0.575,0.2777777777777778
25,Portland Trail Blazers,2020-2021,74,41,8618,8477,141,1.9054054054054055,36,18,33,0.5540540540540541,116.45945945945945,114.55405405405405,38,23,0.5,0.6052631578947368
25,Portland Trail Blazers,2021-2022,74,24,7852,8519,-667,-9.013513513513514,36,15,50,0.32432432432432434,106.10810810810811,115.12162162162163,38,9,0.4166666666666667,0.23684210526315788
25,Portland Trail Blazers,2022-2023,74,28,8402,8740,-338,-4.5675675675675675,38,15,46,0.3783783783783784,113.54054054054055,118.10810810810811,36,13,0.39473684210526316,0.3611111111111111
25,Portland Trail Blazers,2023-2024,34,10,3644,3969,-325,-9.558823529411764,15,5,24,0.29411764705882354,107.17647058823529,116.73529411764706,19,5,0.3333333333333333,0.2631578947368421
25,Portland Trail Blazers,2024-2025,77,30,8287,8596,-309,-4.012987012987013,37,17,47,0.38961038961038963,107.62337662337663,111.63636363636364,40,13,0.4594594594594595,0.325
26,Sacramento Kings,2020-2021,68,29,7756,8036,-280,-4.117647058823529,33,14,39,0.4264705882352941,114.05882352941177,118.17647058823529,35,15,0.42424242424242425,0.42857142857142855
26,Sacramento Kings,2021-2022,76,26,8323,8817,-494,-6.5,38,14,50,0.34210526315789475,109.51315789473684,116.01315789473684,38,12,0.3684210526315789,0.3157894736842105
26,Sacramento Kings,2022-2023,81,45,9735,9563,172,2.123456790123457,42,23,36,0.5555555555555556,120.18518518518519,118.06172839506173,39,22,0.5476190476190477,0.5641025641025641
26,Sacramento Kings,2023-2024,36,23,4261,4215,46,1.2777777777777777,19,13,13,0.6388888888888888,118.36111111111111,117.08333333333333,17,10,0.6842105263157895,0.5882352941176471
26,Sacramento Kings,2024-2025,75,37,8539,8440,99,1.32,39,19,38,0.49333333333333335,113.85333333333334,112.53333333333333,36,18,0.48717948717948717,0.5
27,San Antonio Spurs,2020-2021,66,31,7338,7390,-52,-0.7878787878787878,31,13,35,0.4696969696969697,111.18181818181819,111.96969696969697,35,18,0.41935483870967744,0.5142857142857142
27,San Antonio Spurs,2021-2022,77,32,8661,8638,23,0.2987012987012987,37,15,45,0.4155844155844156,112.48051948051948,112.18181818181819,40,17,0.40540540540540543,0.425
27,San Antonio Spurs,2022-2023,75,21,8480,9234,-754,-10.053333333333333,39,14,54,0.28,113.06666666666666,123.12,36,7,0.358974358974359,0.19444444444444445
27,San Antonio Spurs,2023-2024,33,4,3665,4044,-379,-11.484848484848484,15,1,29,0.12121212121212122,111.06060606060606,122.54545454545455,18,3,0.06666666666666667,0.16666666666666666
27,San Antonio Spurs,2024-2025,75,31,8336,8502,-166,-2.2133333333333334,38,18,44,0.41333333333333333,111.14666666666666,113.36,37,13,0.47368421052631576,0.35135135135135137
28,Toronto Raptors,2020-2021,67,26,7494,7510,-16,-0.23880597014925373,34,15,41,0.3880597014925373,111.85074626865672,112.08955223880596,33,11,0.4411764705882353,0.3333333333333333
28,Toronto Raptors,2021-2022,81,46,8793,8695,98,1.2098765432098766,41,23,35,0.5679012345679012,108.55555555555556,107.34567901234568,40,23,0.5609756097560976,0.575
28,Toronto Raptors,2022-2023,78,38,8785,8684,101,1.294871794871795,39,24,40,0.48717948717948717,112.62820512820512,111.33333333333333,39,14,0.6153846153846154,0.358974358974359
